statenum,casenum,vnumber,pnumber,city,accday,acchr,accmon,dayofweek,latitude,longitude,age,hispanic,ptype,race,sex,body,make,model,modelyr,feet,weight,prevsus
13,3,1,1,0,1,13,1,1,34.19721111,-83.77905,25,0,1,0,2,2,12,3,2002,5,119,1
13,3,1,3,0,1,13,1,1,34.19721111,-83.77905,21,0,2,0,2,2,12,3,2002,5,119,1
13,3,1,4,0,1,13,1,1,34.19721111,-83.77905,4,7,2,1,2,2,12,3,2002,5,119,1
13,4,1,1,5460,1,12,1,1,30.82817778,-83.98692778,17,0,1,0,2,14,49,401,1996,5,140,0
13,4,1,2,5460,1,12,1,1,30.82817778,-83.98692778,19,0,2,0,1,14,49,401,1996,5,140,0
13,4,2,2,5460,1,12,1,1,30.82817778,-83.98692778,11,0,2,0,2,2,55,37,2005,5,999,1
13,4,2,3,5460,1,12,1,1,30.82817778,-83.98692778,2,0,2,0,2,2,55,37,2005,5,999,1
13,6,1,1,3390,2,22,1,2,32.85960278,-83.60910833,26,7,1,2,2,15,20,422,2014,5,147,0
13,9,2,1,120,2,11,1,2,34.07481111,-84.27133889,50,7,1,1,1,80,72,706,2016,5,235,0
13,12,1,1,0,4,10,1,4,34.19777778,-84.42143056,75,7,1,1,2,4,42,48,2000,5,140,1
13,14,1,2,0,4,21,1,4,34.282425,-83.79896944,60,0,2,0,2,15,37,421,2008,6,260,0
13,15,1,1,0,4,3,1,4,33.42873056,-83.76016389,21,7,1,2,1,4,20,37,2006,5,174,0
13,16,1,1,0,5,19,1,5,33.85548056,-84.60230556,19,0,1,0,1,2,20,36,2000,6,210,0
13,17,1,1,0,5,20,1,5,33.54185,-84.61606111,59,0,1,0,1,66,82,881,2005,5,180,0
13,17,2,1,0,5,20,1,5,33.54185,-84.61606111,18,1,1,1,1,14,20,401,2004,5,220,0
13,18,3,1,2285,5,14,1,5,34.28292222,-83.85053889,71,0,1,0,2,4,20,25,2016,5,150,0
13,20,2,1,0,5,9,1,5,33.31931389,-84.28931667,72,7,1,1,1,34,12,481,2006,5,200,0
13,21,1,1,0,6,3,1,6,33.71626667,-84.31078611,25,7,1,2,1,4,58,36,2002,5,240,2
13,22,1,1,0,7,17,1,7,34.66923889,-84.63841667,55,1,1,1,1,20,20,443,2004,5,180,0
13,23,1,1,0,7,3,1,7,33.90192222,-84.20890556,999,0,1,0,9,14,12,401,9999,9,999,99
13,26,1,1,0,7,14,1,7,32.269875,-83.50753611,47,7,1,1,1,4,35,39,1995,5,200,0
13,27,1,1,0,8,18,1,1,33.78984722,-84.2645,67,7,1,18,1,4,49,32,2009,5,150,0
13,28,1,3,280,8,0,1,1,33.69549167,-84.526,36,7,2,2,2,1,34,36,2006,5,213,1
13,30,1,1,3390,9,22,1,2,32.85093056,-83.59706667,29,7,1,2,2,2,7,28,2014,5,145,4
13,30,2,2,3390,9,22,1,2,32.85093056,-83.59706667,36,0,2,0,1,15,12,422,2000,5,156,3
13,31,2,1,0,9,6,1,2,33.60192778,-85.00009167,26,0,1,0,1,34,12,481,2004,5,200,0
13,32,1,1,0,9,13,1,2,32.58791389,-83.89309444,75,7,1,1,2,34,7,482,1999,5,98,0
13,33,1,1,0,10,6,1,3,31.33702778,-81.86911944,24,0,1,0,1,34,20,481,2012,5,200,0
13,33,2,1,0,10,6,1,3,31.33702778,-81.86911944,37,7,1,1,1,34,35,471,1992,5,240,0
13,34,2,2,1815,10,14,1,3,33.92927222,-84.33431111,20,0,2,0,2,2,7,28,2014,5,155,0
13,35,1,1,0,10,0,1,3,33.75979167,-84.17330556,48,7,1,2,2,4,35,43,2014,5,340,0
13,36,1,1,0,10,6,1,3,33.6752,-84.80525833,54,7,1,1,1,34,49,482,2001,5,300,0
13,37,1,3,0,10,19,1,3,33.95081944,-84.19651944,11,0,2,0,1,20,35,443,2005,9,999,0
13,39,1,1,0,10,5,1,3,31.41276944,-84.13655,69,99,1,99,1,16,12,423,2003,5,175,0
13,40,1,1,0,10,6,1,3,34.47573611,-84.50999444,59,7,1,1,2,14,7,402,2001,5,160,0
13,41,1,1,3440,11,22,1,4,33.95415,-84.53463333,41,0,1,0,1,34,12,471,2000,6,212,0
13,42,2,1,120,11,15,1,4,34.06856111,-84.29985556,38,0,1,0,2,6,19,20,2015,5,130,3
13,44,2,1,0,11,12,1,4,32.10841944,-82.37115278,20,0,1,0,1,4,37,32,2011,6,120,0
13,45,1,1,0,11,17,1,4,32.27577778,-82.248925,47,0,1,0,2,6,19,20,2011,5,138,0
13,46,1,1,0,12,19,1,5,33.94594167,-83.75428611,34,0,1,0,2,4,37,31,2005,5,240,1
13,47,1,2,2010,13,10,1,6,34.14898333,-84.74418889,47,7,2,2,1,34,12,471,1991,5,150,1
13,48,2,1,560,13,11,1,6,34.85284722,-84.33704722,24,7,1,1,1,14,14,401,1999,5,125,1
13,49,2,1,280,13,16,1,6,33.78566944,-84.36744167,40,1,1,1,1,80,98,706,2005,5,155,1
13,50,1,1,0,13,20,1,6,33.90663889,-84.1563,20,0,1,0,1,2,49,38,1996,5,150,0
13,51,1,1,0,13,16,1,6,33.17383889,-82.33922222,77,7,1,1,1,1,42,47,2003,5,186,0
13,52,2,1,2220,13,10,1,6,32.55513333,-83.82853611,56,0,1,0,1,66,85,881,2014,5,209,0
13,53,3,2,3710,13,12,1,6,33.80093889,-83.70088056,29,0,2,0,2,4,54,36,2000,5,198,1
13,53,3,3,3710,13,12,1,6,33.80093889,-83.70088056,1,0,2,0,2,4,54,36,2000,5,198,1
13,55,1,1,0,14,19,1,7,33.97153333,-84.61121111,57,0,1,0,2,2,42,46,2003,5,190,0
13,55,2,1,0,14,19,1,7,33.97153333,-84.61121111,19,7,1,1,1,4,9,20,1998,5,140,0
13,55,3,1,0,14,19,1,7,33.97153333,-84.61121111,44,0,1,0,2,4,59,31,2007,5,125,0
13,56,1,1,0,14,23,1,7,33.10526667,-83.775975,50,7,1,2,1,4,63,38,2017,5,150,3
13,57,2,1,5850,14,8,1,7,31.20880833,-82.38872222,34,0,1,0,1,66,84,881,2012,6,240,0
13,57,3,3,5850,14,8,1,7,31.20880833,-82.38872222,8,0,2,0,1,4,6,18,2015,5,160,1
13,58,1,1,0,15,23,1,1,33.69514167,-85.08358333,26,1,1,1,1,15,12,422,2004,9,999,0
13,58,2,1,0,15,23,1,1,33.69514167,-85.08358333,54,0,1,0,1,66,87,881,2010,6,345,1
13,59,1,1,0,15,21,1,1,33.55086111,-84.448775,63,0,1,0,2,14,49,401,2004,5,140,0
13,60,1,1,4882,15,21,1,1,33.88101667,-84.38731111,37,1,1,1,1,4,12,37,2005,9,999,2
13,60,2,2,4882,15,21,1,1,33.88101667,-84.38731111,61,0,2,0,2,4,42,43,2002,6,195,0
13,61,1,1,0,16,12,1,2,32.32678056,-81.56345278,59,1,1,1,1,80,72,706,2009,5,145,0
13,63,1,1,3100,16,18,1,2,34.01767778,-84.0411,46,0,1,0,1,20,37,441,2005,5,145,0
13,64,1,1,0,16,21,1,2,30.76982222,-83.28986944,24,0,1,0,2,4,37,32,2002,5,156,0
13,64,1,2,0,16,21,1,2,30.76982222,-83.28986944,26,0,2,0,1,4,37,32,2002,5,156,0
13,64,1,3,0,16,21,1,2,30.76982222,-83.28986944,23,7,2,2,2,4,37,32,2002,5,156,0
13,67,1,1,0,17,15,1,3,32.40122222,-82.10081389,16,0,1,0,2,14,20,404,2013,5,105,0
13,68,1,1,9997,17,18,1,3,34.47440278,-84.60996111,24,0,1,0,1,14,2,404,1996,5,188,0
13,69,1,1,0,18,7,1,4,32.12880833,-81.44545556,32,7,1,1,1,14,12,401,2007,6,250,0
13,70,1,1,0,18,5,1,4,33.34183333,-84.52438889,31,0,1,0,1,15,20,421,2000,6,260,1
13,70,2,1,0,18,5,1,4,33.34183333,-84.52438889,74,7,1,2,1,14,20,401,1995,5,250,0
13,71,2,1,280,18,15,1,4,33.70064167,-84.34955556,21,99,1,99,1,3,30,42,2001,5,130,0
13,72,1,3,1300,18,23,1,4,34.22980833,-83.50137778,29,7,2,2,1,4,6,18,2015,5,134,4
13,72,1,5,1300,18,23,1,4,34.22980833,-83.50137778,22,0,2,0,2,4,6,18,2015,5,134,4
13,73,1,1,0,19,21,1,5,33.50575556,-84.42847778,61,0,1,0,2,14,12,402,2014,5,145,0
13,73,1,2,0,19,21,1,5,33.50575556,-84.42847778,33,0,2,0,1,14,12,402,2014,5,145,0
13,74,1,1,1280,19,16,1,5,32.53938611,-84.96642222,64,7,1,1,1,34,20,481,1997,6,350,0
13,74,2,2,1280,19,16,1,5,32.53938611,-84.96642222,14,0,2,0,2,14,63,402,2011,5,106,0
13,75,1,1,310,19,19,1,5,33.25338889,-81.96435,18,7,1,2,1,83,37,709,2006,5,164,0
13,75,2,1,310,19,19,1,5,33.25338889,-81.96435,35,0,1,0,1,34,7,482,2012,5,185,0
13,76,1,1,3460,19,2,1,5,34.48603333,-83.193875,18,7,1,1,1,34,12,471,2000,6,160,0
13,77,1,1,0,20,9,1,6,33.78138056,-83.92918333,67,7,1,1,1,1,39,31,1998,5,215,0
13,79,1,1,3390,22,12,1,1,32.85712778,-83.64131389,44,7,1,1,2,14,23,401,2005,5,205,0
13,79,1,3,3390,22,12,1,1,32.85712778,-83.64131389,5,0,2,0,1,14,23,401,2005,5,205,0
13,80,1,1,800,22,7,1,1,34.0613,-83.98413611,29,0,1,0,1,4,52,34,2006,5,140,0
13,80,1,2,800,22,7,1,1,34.0613,-83.98413611,28,5,2,1,2,4,52,34,2006,5,140,0
13,81,1,1,800,22,21,1,1,34.06797778,-84.008525,24,1,1,1,1,14,2,404,2001,5,150,2
13,82,1,1,3560,23,6,1,2,32.35089167,-82.09550833,37,7,1,1,1,34,7,482,2002,6,305,0
13,82,2,1,3560,23,6,1,2,32.35089167,-82.09550833,40,0,1,0,1,14,42,401,2013,5,150,0
13,83,1,1,4910,23,17,1,2,31.97344444,-81.13488611,44,0,1,0,2,14,37,402,2016,5,190,0
13,83,2,2,4910,23,17,1,2,31.97344444,-81.13488611,74,0,2,0,2,4,12,16,2006,6,280,0
13,84,1,1,9997,23,20,1,2,33.8648,-84.30946389,68,0,1,0,1,34,49,482,2006,6,225,0
13,86,1,1,760,23,12,1,2,31.13955278,-81.58010278,37,0,1,0,2,20,37,441,2007,5,153,0
13,86,1,2,760,23,12,1,2,31.13955278,-81.58010278,55,99,2,99,2,20,37,441,2007,5,153,0
13,86,1,3,760,23,12,1,2,31.13955278,-81.58010278,51,0,2,0,2,20,37,441,2007,5,153,0
13,86,1,4,760,23,12,1,2,31.13955278,-81.58010278,52,0,2,0,2,20,37,441,2007,5,153,0
13,86,1,6,760,23,12,1,2,31.13955278,-81.58010278,55,0,2,0,2,20,37,441,2007,5,153,0
13,86,2,1,760,23,12,1,2,31.13955278,-81.58010278,30,0,1,0,1,4,42,43,2001,5,200,0
13,87,1,1,1210,23,5,1,2,32.28671667,-82.21326389,27,0,1,0,1,20,6,441,2007,5,195,0
13,88,1,1,800,24,2,1,3,34.12599167,-83.95860278,24,0,1,0,1,4,18,7,1995,5,150,2
13,88,1,2,800,24,2,1,3,34.12599167,-83.95860278,26,7,2,1,2,4,18,7,1995,5,150,2
13,90,1,1,0,24,20,1,3,34.86055556,-84.00464167,45,0,1,0,2,15,7,422,2015,5,999,0
13,90,1,3,0,24,20,1,3,34.86055556,-84.00464167,20,0,2,0,2,15,7,422,2015,5,999,0
13,90,2,1,0,24,20,1,3,34.86055556,-84.00464167,55,7,1,1,2,4,12,37,2001,5,298,0
13,93,1,1,4760,25,21,1,4,34.23299444,-85.16731389,50,0,1,0,1,34,12,481,2004,5,250,0
13,96,1,1,1280,26,13,1,5,32.53870833,-84.84050278,61,0,1,0,1,66,82,881,2012,5,225,0
13,97,2,1,0,26,16,1,5,33.56722222,-83.85821389,83,0,1,0,1,20,63,441,2004,5,210,0
13,97,2,2,0,26,16,1,5,33.56722222,-83.85821389,75,7,2,1,2,20,63,441,2004,5,210,0
13,100,1,1,5730,27,20,1,6,33.71416667,-84.93716111,56,0,1,0,1,4,35,50,2016,6,245,0
13,100,2,1,5730,27,20,1,6,33.71416667,-84.93716111,20,0,1,0,1,34,23,481,2006,6,250,0
13,101,1,1,270,27,18,1,6,33.99585,-83.33068889,30,7,1,2,2,4,37,32,1997,5,115,1
13,102,1,1,0,27,15,1,6,30.73014167,-84.44410556,51,7,1,1,1,20,7,442,2016,6,999,0
13,102,2,1,0,27,15,1,6,30.73014167,-84.44410556,24,0,1,0,1,66,51,881,2012,5,165,0
13,103,1,1,280,27,12,1,6,33.74731111,-84.31878889,36,7,1,2,1,34,12,481,1999,6,200,0
13,104,1,1,0,27,15,1,6,33.83444167,-85.01597778,77,99,1,99,2,34,12,473,2005,5,187,0
13,105,1,1,0,27,7,1,6,31.38963333,-83.65513056,31,7,1,1,1,20,12,441,1996,6,220,0
13,105,1,2,0,27,7,1,6,31.38963333,-83.65513056,36,7,2,1,2,20,12,441,1996,6,220,0
13,105,2,1,0,27,7,1,6,31.38963333,-83.65513056,62,0,1,0,2,34,12,481,2013,5,188,0
13,106,1,1,5640,28,22,1,7,33.62128056,-84.59375556,37,99,1,99,1,4,49,32,1993,6,185,0
13,107,1,1,3990,29,20,1,1,33.90825556,-84.189425,24,0,1,0,1,4,20,2,2015,5,140,0
13,108,2,1,3990,30,3,1,2,33.91528611,-84.202075,44,7,1,2,1,4,49,51,2017,5,175,0
13,108,2,2,3990,30,3,1,2,33.91528611,-84.202075,23,0,2,0,2,4,49,51,2017,5,175,0
13,113,1,1,1280,31,17,1,3,32.59269167,-84.93828333,45,7,1,1,1,80,72,706,2015,5,190,0
13,113,2,1,1280,31,17,1,3,32.59269167,-84.93828333,55,0,1,0,1,63,87,884,2007,6,280,0
13,115,1,1,0,1,18,2,4,33.92871667,-84.68330278,42,0,1,0,2,15,37,421,2005,5,185,0
13,118,1,1,0,1,16,2,4,31.72625833,-83.98708611,52,7,1,1,2,34,20,481,2012,5,150,1
13,119,1,1,0,2,7,2,5,30.92965833,-84.60487222,29,7,1,1,2,6,6,54,2006,5,125,0
13,119,1,2,0,2,7,2,5,30.92965833,-84.60487222,1,0,2,0,2,6,6,54,2006,5,125,0
13,121,2,1,0,2,7,2,5,33.12023611,-84.44811944,31,0,1,0,2,4,54,35,2012,5,154,0
13,122,1,1,0,2,8,2,5,32.59092222,-81.70408889,63,7,1,2,2,4,12,17,2005,5,130,0
13,122,2,1,0,2,8,2,5,32.59092222,-81.70408889,68,0,1,0,2,4,13,1,2004,5,183,0
